# id	left	top	right	bottom	texture_id
[SPRITES]

#SMALL BUSH
102000	222	205	237	220	30

#GOAL BOUNDARY
102001	103	52	118	67	30

#CARD BOX
#top left
102002	137	86	152	101	30
#top right
102003	154	86	169	101	30
#bottom left
102004	137	103	152	118	30
#bottom right
102005	154	103	169	118	30

#SUPER STAR
102006	137	120	152	135	30	

#FIRE FLOWER
102007	154	120	169	135	30

#SUPER MUSHROOM
102008	171	120	186	135	30	

#EYE CLOUD FULL, MIDDLE AND RIGHT HALF
102009	189	196	220	219	30
102010	198	196	213	219	30
102011	198	196	221	219	30

#Spiral cloud small and big
102012	222	111	237	118	30
102013	205	86	236	101	30

#Course clear
102014	358	445	467	450	30
#You got a card
102015	358	455	467	460	30

#Card Mushroom
102016	187	33	210	60	50
#Card Flower
102017	211	33	234	60	50
#Card Star
102018	235	33	258	60	50

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
