# id	left	top	right	bottom	texture_id
[SPRITES]
120000	0	67	369	126	50

#DIGIT
120010	33	31	40	38	50
120011	44	31	49	38	50
120012	53	31	60	38	50
120013	63	31	70	38	50
120014	73	31	80	38	50
120015	83	31	90	38	50
120016	93	31	100	38	50
120017	103	31	110	38	50
120018	113	31	120	38	50
120019	123	31	130	38	50

#DIGIT POPUP: 0, 1, 2, 4, 8
120022	5	29	8	36	60
120023	1	29	4	36	60
120024	18	29	21	36	60
120025	35	29	38	36	60
120026	52	29	55	36	60

#RUN POWER ACTIVE
120020	3	32	10	39	50

#FULL POWER ACTIVE
120021	11	32	26	39	50

#Card Mushroom
120027	187	33	210	60	50
#Card Flower
120028	211	33	234	60	50
#Card Star
120029	235	33	258	60	50

#Level up
120030	1	108	24	123	60

# ani_id	sprite1_id	time1	sprite2_id	time2	...
